do,du,did,dId,u->Id
wear,w1r,wore,w$r,1->$
build,bIld,built,bIlt,d->t
die,d2,died,d2d,NULL->d
love,lVv,loved,lVvd,NULL->d
add,{d,added,{-dId,NULL->Id
meet,mit,met,mEt,i->E
increase,Inkris,increased,In-krist,NULL->t
open,5p@n,opened,5-p@nd,NULL->d
suggest,s@_Est,suggested,s@-_E-stId,NULL->Id
break,br1k,broke,br5k,1->5
hope,h5p,hoped,h5pt,NULL->t
suppose,s@p5z,supposed,s@-p5zd,NULL->d
return,rIt3n,returned,rI-t3nd,NULL->d
drive,dr2v,drove,dr5v,2->5
draw,dr$,drew,dru,$->u
involve,InvQlv,involved,In-vQlvd,NULL->d
kill,kIl,killed,kIld,NULL->d
consider,k@nsId3,considered,k@n-sI-d3d,NULL->d
accept,@ksEpt,accepted,@k-sEp-tId,NULL->Id
offer,Qf3,offered,Q-f3d,NULL->d
realize,rirl2z,realized,rir-l2zd,NULL->d
explain,Ikspl1n,explained,Ik-spl1nd,NULL->d
rise,r2z,rose,r5z,2->5
catch,k{J,caught,k$t,{J->$t
agree,@gri,agreed,@-grid,NULL->d
cut,kVt,cut,kVt,NULL
require,rIkw23,required,rI-kw2-3d,NULL->d
pick,pIk,picked,pIkt,NULL->t
wish,wIS,wished,wISt,NULL->t
pull,pUl,pulled,pUld,NULL->d
cover,kVv3,covered,kV-v3d,NULL->d
choose,Juz,chose,J5z,u->5
listen,lIs@n,listened,lI-s@nd,NULL->d
raise,r1z,raised,r1zd,NULL->d
wonder,wVnd3,wondered,wVn-d3d,NULL->d
cause,k$z,caused,k$zd,NULL->d
arrive,@r2v,arrived,@-r2vd,NULL->d
laugh,l{f,laughed,l{ft,NULL->t
forget,f@gEt,forgot,f@-gQt,E->Q
answer,{ns3,answered,{n-s3d,NULL->d
plan,pl{n,planned,pl{nd,NULL->d
describe,dIskr2b,described,dI-skr2bd,NULL->d
smile,sm2l,smiled,sm2ld,NULL->d
create,kri1t,created,kri-1-tId,NULL->Id
throw,Tr5,threw,Tru,5->u
receive,rIsiv,received,rI-sivd,NULL->d
win,wIn,won,wVn,I->V
prove,pruv,proved,pruvd,NULL->d
serve,s3v,served,s3vd,NULL->d
enjoy,In_4,enjoyed,In-_4d,NULL->d
fail,f1l,failed,f1ld,NULL->d
sell,sEl,sold,s5ld,E->5d
join,_4n,joined,_4nd,NULL->d
teach,tiJ,taught,t$t,iJ->$t
drop,drQp,dropped,drQpt,NULL->t
fight,f2t,fought,f$t,2->$
force,f$s,forced,f$st,NULL->t
end,End,ended,En-dId,NULL->Id
discover,dIskVv3,discovered,dI-skV-v3d,NULL->d
recognize,rEk@gn2z,recognized,rE-k@g-n2zd,NULL->d
fill,fIl,filled,fIld,NULL->d
face,f1s,faced,f1st,NULL->t
feed,fid,fed,fEd,i->E
exist,IgzIst,existed,Ig-zI-stId,NULL->Id
point,p4nt,pointed,p4n-tId,NULL->Id
shake,S1k,shook,SUk,1->U
tend,tEnd,tended,tEn-dId,NULL->Id
notice,n5tIs,noticed,n5-tIst,NULL->t
drink,drINk,drank,dr{Nk,I->{
enter,Ent3,entered,En-t3d,NULL->d
discuss,dIskVs,discussed,dI-skVst,NULL->t
sleep,slip,slept,slEpt,iX->EXt
manage,m{nI_,managed,m{-nI_d,NULL->d
hang,h{N,hung,hVN,{->V
include,Inklud,included,In-klu-dId,NULL->Id
form,f$m,formed,f$md,NULL->d
finish,fInIS,finished,fI-nISt,NULL->t
marry,m{rI,married,m{-rId,NULL->Id
sound,s6nd,sounded,s6n-dId,NULL->Id
contain,k@nt1n,contained,k@n-t1nd,NULL->d
push,pUS,pushed,pUSt,NULL->t
occur,@k3r,occurred,@-k3d,NULL->d
establish,Ist{blIS,established,I-st{-blISt,NULL->t
imagine,Im{_In,imagined,I-m{-_Ind,NULL->d
act,{kt,acted,{k-tId,NULL->Id
save,s1v,saved,s1vd,NULL->d
care,k1r,cared,k1rd,NULL->d
stare,st1r,stared,st1rd,NULL->d
lay,l1,laid,l1d,NULL->d
cry,kr2,cried,kr2d,NULL->d
close,kl5z,closed,kl5zd,NULL->d
suffer,sVf3,suffered,sV-f3d,NULL->d
seek,sik,sought,s$t,ik->$t
share,S1r,shared,S1rd,NULL->d
argue,Qrgju,argued,Qr-gjud,NULL->d
reduce,rIdjus,reduced,rI-djust,NULL->t
achieve,@Jiv,achieved,@-Jivd,NULL->d
support,s@p$t,supported,s@-p$-tId,NULL->Id
apply,@pl2,applied,@-pl2d,NULL->d
study,stVdI,studied,stV-dId,NULL->Id
thank,T{Nk,thanked,T{Nkt,NULL->t
avoid,@v4d,avoided,@-v4-dId,NULL->Id
refuse,rIfjuz,refused,rI-fjuzd,NULL->d
mention,mEnS@n,mentioned,mEn-S@nd,NULL->d
accord,@k$d,accorded,@-k$-dId,NULL->Id
strike,str2k,strike,str2k,NULL
visit,vIzIt,visited,vI-zI-tId,NULL->Id
assume,@sjum,assumed,@-sjumd,NULL->d
touch,tVJ,touched,tVJt,NULL->t
encourage,InkVrI_,encouraged,In-kV-rI_d,NULL->d
bear,b1r,bore,b$r,1->$
report,rIp$t,reported,rI-p$-tId,NULL->Id
express,IksprEs,expressed,Ik-sprEst,NULL->t
deal,dil,dealt,dElt,iX->EXt
remove,rImuv,removed,rI-muvd,NULL->d
destroy,dIstr4,destroyed,dI-str4d,NULL->d
regard,rIgQrd,regarded,rI-gQr-dId,NULL->Id
represent,rEprIzEnt,represented,rE-prI-zEn-tId,NULL->Id
hide,h2d,hid,hId,2->I
place,pl1s,placed,pl1st,NULL->t
claim,kl1m,claimed,kl1md,NULL->d
hit,hIt,hit,hIt,NULL
present,prIzEnt,presented,prI-zEn-tId,NULL->Id
treat,trit,treated,tri-tId,NULL->Id
admit,@dmIt,admitted,@d-mI-tId,NULL->Id
worry,wVrI,worried,wV-rId,NULL->Id
fly,fl2,flew,flu,2->u
maintain,m1nt1n,maintained,m1n-t1nd,NULL->d
travel,tr{v@l,travelled,tr{-v@ld,NULL->d
improve,Impruv,improved,Im-pruvd,NULL->d
stick,stIk,stuck,stVk,I->V
prevent,prIvEnt,prevented,prI-vEn-tId,NULL->Id
wash,wQS,washed,wQSt,NULL->t
climb,kl2m,climbed,kl2md,NULL->d
hate,h1t,hated,h1-tId,NULL->Id
introduce,Intr@djus,introduced,In-tr@-djust,NULL->t
ring,rIN,rang,r{N,I->V
matter,m{t3,mattered,m{-t3d,NULL->d
survive,s@v2v,survived,s@-v2vd,NULL->d
own,5n,owned,5nd,NULL->d
arrange,@r1n_,arranged,@-r1n_d,NULL->d
lift,lIft,lifted,lIf-tId,NULL->Id
spread,sprEd,spread,sprEd,NULL
burn,b3n,burned,b3nd,NULL->d
burn,b3n,burnt,b3nt,NULL->t
gain,g1n,gained,g1nd,NULL->d
press,prEs,pressed,prEst,NULL->t
design,dIz2n,designed,dI-z2nd,NULL->d
control,k@ntr5l,controlled,k@n-tr5ld,NULL->d
publish,pVblIS,published,pV-blISt,NULL->t
beat,bit,beat,bit,NULL
order,$d3,ordered,$-d3d,NULL->d
protect,pr@tEkt,protected,pr@-tEk-tId,NULL->Id
miss,mIs,missed,mIst,NULL->t
reply,rIpl2,replied,rI-pl2d,NULL->d
compare,k@mp1r,compared,k@m-p1rd,NULL->d
blow,bl5,blew,blu,5->u
shout,S6t,shouted,S6-tId,NULL->Id
check,JEk,checked,JEkt,NULL->t
belong,bIlQN,belonged,bI-lQNd,NULL->d
operate,Qp@r1t,operated,Q-p@-r1-tId,NULL->Id
prefer,prIf3r,preferred,prI-f3d,NULL->d
dress,drEs,dressed,drEst,NULL->t
demand,dIm{nd,demanded,dI-m{n-dId,NULL->Id
emerge,Im3_,emerged,I-m3_d,NULL->d
settle,sEt@l,settled,sE-t@ld,NULL->d
approach,@pr5J,approached,@-pr5Jt,NULL->t
intend,IntEnd,intended,In-tEn-dId,NULL->Id
prepare,prIp1r,prepared,prI-p1rd,NULL->d
nod,nQd,nodded,nQ-dId,NULL->Id
pour,p$r,poured,p$d,NULL->d
reveal,rIvil,revealed,rI-vild,NULL->d
fear,fir,feared,fird,NULL->d
sing,sIN,sang,s{N,I->{
attempt,@tEmpt,attempted,@-tEmp-tId,NULL->Id
perform,p@f$m,performed,p@-f$md,NULL->d
reflect,rIflEkt,reflected,rI-flEk-tId,NULL->Id
insist,InsIst,insisted,In-sI-stId,NULL->Id
examine,Igz{mIn,examined,Ig-z{-mInd,NULL->d
guess,gEs,guessed,gEst,NULL->t
gather,g{D3,gathered,g{-D3d,NULL->d
promise,prQmIs,promised,prQ-mIst,NULL->t
cross,krQs,crossed,krQst,NULL->t
replace,rIpl1s,replaced,rI-pl1st,NULL->t
indicate,IndIk1t,indicated,In-dI-k1-tId,NULL->Id
fit,fIt,fitted,fI-tId,NULL->Id
attend,@tEnd,attended,@-tEn-dId,NULL->Id
shoot,Sut,shot,SQt,u->Q
announce,@n6ns,announced,@-n6nst,NULL->t
extend,IkstEnd,extended,Ik-stEn-dId,NULL->Id
affect,@fEkt,affected,@-fEk-tId,NULL->Id
lean,lin,leaned,lind,NULL->d
roll,r5l,rolled,r5ld,NULL->d
paint,p1nt,painted,p1n-tId,NULL->Id
cook,kUk,cooked,kUkt,NULL->t
shut,SVt,shut,SVt,NULL
last,l{st,lasted,l{-stId,NULL->Id
ignore,Ign$r,ignored,Ig-n$d,NULL->d
hand,h{nd,handed,h{n-dId,NULL->Id
attack,@t{k,attacked,@-t{kt,NULL->t
collect,k@lEkt,collected,k@-lEk-tId,NULL->Id
observe,@bz3v,observed,@b-z3vd,NULL->d
disappear,dIs@pir,disappeared,dIs-@-pird,NULL->d
identify,2dEntIf2,identified,2-dEn-tI-f2d,NULL->d
stretch,strEJ,stretched,strEJt,NULL->t
obtain,@bt1n,obtained,@b-t1nd,NULL->d
hurt,h3t,hurt,h3t,NULL
jump,_Vmp,jumped,_Vmpt,NULL->t
handle,h{nd@l,handled,h{n-d@ld,NULL->d
combine,k@mb2n,combined,k@m-b2nd,NULL->d
succeed,s@ksid,succeeded,s@k-si-dId,NULL->Id
repeat,rIpit,repeated,rI-pi-tId,NULL->Id
wake,w1k,waked,w1kt,NULL->t
bend,bEnd,bended,bEn-dId,NULL->Id
dance,d{ns,danced,d{nst,NULL->t
deny,dIn2,denied,dI-n2d,NULL->d
invite,Inv2t,invited,In-v2-tId,NULL->Id
divide,dIv2d,divided,dI-v2-dId,NULL->Id
propose,pr@p5z,proposed,pr@-p5zd,NULL->d
suspect,s@spEkt,suspected,s@-spEk-tId,NULL->Id
threaten,TrEt@n,threatened,TrE-t@nd,NULL->d
mind,m2nd,minded,m2n-dId,NULL->Id
count,k6nt,counted,k6n-tId,NULL->Id
afford,@f$d,afforded,@-f$-dId,NULL->Id
organize,$g@n2z,organized,$-g@-n2zd,NULL->d
employ,Impl4,employed,Im-pl4d,NULL->d
lock,lQk,locked,lQkt,NULL->t
tear,t1r,tore,t$r,1->$
slip,slIp,slipped,slIpt,NULL->t
tie,t2,tied,t2d,NULL->d
remind,rIm2nd,reminded,rI-m2n-dId,NULL->Id
arise,@r2z,arose,@-r5z,2->5
concentrate,kQns@ntr1t,concentrated,kQn-s@n-tr1-tId,NULL->Id
clean,klin,cleaned,klind,NULL->d
oppose,@p5z,opposed,@-p5zd,NULL->d
escape,Isk1p,escaped,I-sk1pt,NULL->t
reject,rI_Ekt,rejected,rI-_Ek-tId,NULL->Id
note,n5t,noted,n5-tId,NULL->Id
train,tr1n,trained,tr1nd,NULL->d
kiss,kIs,kissed,kIst,NULL->t
ensure,InS$r,ensured,In-S$d,NULL->d
adopt,@dQpt,adopted,@-dQp-tId,NULL->Id
bother,bQD3,bothered,bQ-D3d,NULL->d
name,n1m,named,n1md,NULL->d
release,rIlis,released,rI-list,NULL->t
acquire,@kw23,acquired,@-kw2-3d,NULL->d
result,rIzVlt,resulted,rI-zVl-tId,NULL->Id
vote,v5t,voted,v5-tId,NULL->Id
step,stEp,stepped,stEpt,NULL->t
ride,r2d,rode,r5d,2->5
satisfy,s{tIsf2,satisfied,s{-tIs-f2d,NULL->d
vary,v1rrI,varied,v1r-rId,NULL->Id
swing,swIN,swung,swVN,I->V
define,dIf2n,defined,dI-f2nd,NULL->d
declare,dIkl1r,declared,dI-kl1rd,NULL->d
cost,kQst,costed,kQ-stId,NULL->Id
persuade,p@sw1d,persuaded,p@-sw1-dId,NULL->Id
abandon,@b{nd@n,abandoned,@-b{n-d@nd,NULL->d
test,tEst,tested,tE-stId,NULL->Id
earn,3n,earned,3nd,NULL->d
attract,@tr{kt,attracted,@-tr{k-tId,NULL->Id
enable,In1b@l,enabled,I-n1-b@ld,NULL->d
light,l2t,lighted,l2-tId,NULL->Id
knock,nQk,knocked,nQkt,NULL->t
commit,k@mIt,committed,k@-mI-tId,NULL->Id
relax,rIl{ks,relaxed,rI-l{kst,NULL->t
direct,dIrEkt,directed,dI-rEk-tId,NULL->Id
recall,rIk$l,recalled,rI-k$ld,NULL->d
steal,stil,stole,st5l,i->5
rest,rEst,rested,rE-stId,NULL->Id
experience,Ikspirrirns,experienced,Ik-spir-rirnst,NULL->t
solve,sQlv,solved,sQlvd,NULL->d
record,rIk$d,recorded,rI-k$-dId,NULL->Id
associate,@s5SI1t,associated,@-s5-SI-1-tId,NULL->Id
pretend,prItEnd,pretended,prI-tEn-dId,NULL->Id
complain,k@mpl1n,complained,k@m-pl1nd,NULL->d
determine,dIt3mIn,determined,dI-t3-mInd,NULL->d
respond,rIspQnd,responded,rI-spQn-dId,NULL->Id
supply,s@pl2,supplied,s@-pl2d,NULL->d
sweep,swip,swept,swEpt,iX->EXt
occupy,QkjUp2,occupied,Q-kjU-p2d,NULL->d
rush,rVS,rushed,rVSt,NULL->t
mix,mIks,mixed,mIkst,NULL->t
separate,sEp@r1t,separated,sE-p@-r1-tId,NULL->Id
state,st1t,stated,st1-tId,NULL->Id
bury,bErI,buried,bE-rId,NULL->Id
sink,sINk,sank,s{Nk,I->{
warn,w$n,warned,w$nd,NULL->d
clear,klir,cleared,klird,NULL->d
mark,mQrk,marked,mQrkt,NULL->t
attach,@t{J,attached,@-t{Jt,NULL->t
sign,s2n,signed,s2nd,NULL->d
expose,Iksp5z,exposed,Ik-sp5zd,NULL->d
surround,s@r6nd,surrounded,s@-r6n-dId,NULL->Id
practise,pr{ktIs,practised,pr{k-tIst,NULL->t
scream,skrim,screamed,skrimd,NULL->d
drag,dr{g,dragged,dr{gd,NULL->d
complete,k@mplit,completed,k@m-pli-tId,NULL->Id
dare,d1r,dared,d1rd,NULL->d
fire,f23,fired,f2-3d,NULL->d
accompany,@kVmp@nI,accompanied,@-kVm-p@-nId,NULL->Id
trust,trVst,trusted,trV-stId,NULL->Id
lower,l53,lowered,l5-3d,NULL->d
dry,dr2,dried,dr2d,NULL->d
glance,gl{ns,glanced,gl{nst,NULL->t
possess,p@zEs,possessed,p@-zEst,NULL->t
smell,smEl,smelled,smEld,NULL->d
smell,smEl,smelt,smElt,NULL->t
suit,sut,suited,su-tId,NULL->Id
defend,dIfEnd,defended,dI-fEn-dId,NULL->Id
head,hEd,headed,hE-dId,NULL->Id
swim,swIm,swam,sw{m,I->{
blame,bl1m,blamed,bl1md,NULL->d
deliver,dIlIv3,delivered,dI-lI-v3d,NULL->d
expand,Iksp{nd,expanded,Ik-sp{n-dId,NULL->Id
imply,Impl2,implied,Im-pl2d,NULL->d
behave,bIh1v,behaved,bI-h1vd,NULL->d
demonstrate,dEm@nstr1t,demonstrated,dE-m@n-str1-tId,NULL->Id
shift,SIft,shifted,SIf-tId,NULL->Id
wave,w1v,waved,w1vd,NULL->d
search,s3J,searched,s3Jt,NULL->t
charge,JQr_,charged,JQr_d,NULL->d
approve,@pruv,approved,@-pruvd,NULL->d
freeze,friz,froze,fr5z,i->5
smoke,sm5k,smoked,sm5kt,NULL->t
confirm,k@nf3m,confirmed,k@n-f3md,NULL->d
engage,Ing1_,engaged,In-g1_d,NULL->d
breathe,briD,breathed,briDd,NULL->d
impose,Imp5z,imposed,Im-p5zd,NULL->d
pursue,p@sju,pursued,p@-sjud,NULL->d
grant,gr{nt,granted,gr{n-tId,NULL->Id
admire,@dm23,admired,3d-m2-3d,NULL->d
cope,k5p,coped,k5pt,NULL->t
struggle,strVg@l,struggled,strV-g@ld,NULL->d
switch,swIJ,switched,swIJt,NULL->t
disturb,dIst3b,disturbed,dI-st3bd,NULL->d
select,sIlEkt,selected,sI-lEk-tId,NULL->Id
recommend,rEk@mEnd,recommended,rE-k@-mEn-dId,NULL->Id
withdraw,wIDdr$,withdrew,wID-dru,$->u
permit,p@mIt,permitted,p@-mI-tId,NULL->Id
advise,@dv2z,advised,@d-v2zd,NULL->d
whisper,wIsp3,whispered,wI-sp3d,NULL->d
boil,b4l,boiled,b4ld,NULL->d
conclude,k@nklud,concluded,k@n-klu-dId,NULL->Id
dominate,dQmIn1t,dominated,dQ-mI-n1-tId,NULL->Id
contribute,k@ntrIbjut,contributed,k@n-trI-bju-tId,NULL->Id
kick,kIk,kicked,kIkt,NULL->t
link,lINk,linked,lINkt,NULL->t
recover,rIkVv3,recovered,rI-kV-v3d,NULL->d
pause,p$z,paused,p$zd,NULL->d
resist,rIzIst,resisted,rI-zI-stId,NULL->Id
cast,k{st,cast,k{st,NULL
stir,st3r,stirred,st3d,NULL->d
mount,m6nt,mounted,m6n-tId,NULL->Id
rub,rVb,rubbed,rVbd,NULL->d
vanish,v{nIS,vanished,v{-nISt,NULL->t
quote,kw5t,quoted,kw5-tId,NULL->Id
proceed,pr@sid,proceeded,pr@-si-dId,NULL->Id
fix,fIks,fixed,fIkst,NULL->t
connect,k@nEkt,connected,k@-nEk-tId,NULL->Id
sort,s$t,sorted,s$-tId,NULL->Id
judge,_V_,judged,_V_d,NULL->d
preserve,prIz3v,preserved,prI-z3vd,NULL->d
dig,dIg,dug,dVg,I->V
hurry,hVrI,hurried,hV-rId,NULL->Id
retain,rIt1n,retained,rI-t1nd,NULL->d
sense,sEns,sensed,sEnst,NULL->t
alter,$lt3,altered,$l-t3d,NULL->d
influence,Infl$ns,influenced,In-fl$nst,NULL->t
launch,l$nJ,launched,l$nJt,NULL->t
twist,twIst,twisted,twI-stId,NULL->Id
urge,3_,urged,3_d,NULL->d
assure,@S$r,assured,@-S$d,NULL->d
impress,ImprEs,impressed,Im-prEst,NULL->t
pack,p{k,packed,p{kt,NULL->t
fold,f5ld,folded,f5l-dId,NULL->Id
issue,ISu,issued,I-Sud,NULL->d
burst,b3st,burst,b3st,NULL
conduct,k@ndVkt,conducted,k@n-dVk-tId,NULL->Id
absorb,@bs$b,absorbed,@b-s$bd,NULL->d
display,dIspl1,displayed,dI-spl1d,NULL->d
waste,w1st,wasted,w1-stId,NULL->Id
dream,drim,dreamed,drimd,NULL->d
wipe,w2p,wiped,w2pt,NULL->t
relate,rIl1t,related,rI-l1-tId,NULL->Id
emphasize,Emf@s2z,emphasized,Em-f@-s2zd,NULL->d
damage,d{mI_,damaged,d{-mI_d,NULL->d
generate,_En@r1t,generated,_E-n@-r1-tId,NULL->Id
wander,wQnd3,wandered,wQn-d3d,NULL->d
cease,sis,ceased,sist,NULL->t
rule,rul,ruled,ruld,NULL->d
inform,Inf$m,informed,In-f$md,NULL->d
lack,l{k,lacked,l{kt,NULL->t
accuse,@kjuz,accused,@-kjuzd,NULL->d
fade,f1d,faded,f1-dId,NULL->Id
phone,f5n,phoned,f5nd,NULL->d
suck,sVk,sucked,sVkt,NULL->t
measure,mEZ3,measured,mE-Z3d,NULL->d
convert,k@nv3t,converted,k@n-v3-tId,NULL->Id
limit,lImIt,limited,lI-mI-tId,NULL->Id
print,prInt,printed,prIn-tId,NULL->Id
address,@drEs,addressed,@-drEst,NULL->t
aim,1m,aimed,1md,NULL->d
wrap,r{p,wrapped,r{pt,NULL->t
dismiss,dIsmIs,dismissed,dIs-mIst,NULL->t
slide,sl2d,slid,slId,2->I
appreciate,@priSI1t,appreciated,@-pri-SI-1-tId,NULL->Id
delight,dIl2t,delighted,dI-l2-tId,NULL->Id
elect,IlEkt,elected,I-lEk-tId,NULL->Id
flow,fl5,flowed,fl5d,NULL->d
question,kwEsJ@n,questioned,kwEs-J@nd,NULL->d
exhaust,Igz$st,exhausted,Ig-z$-stId,NULL->Id
shine,S2n,shone,SQn,2->Q
account,@k6nt,accounted,@-k6n-tId,NULL->Id
slow,sl5,slowed,sl5d,NULL->d
doubt,d6t,doubted,d6-tId,NULL->Id
acknowledge,@knQlI_,acknowledged,@k-nQ-lI_d,NULL->d
estimate,EstIm1t,estimated,E-stI-m1-tId,NULL->Id
spring,sprIN,sprang,spr{N,I->V
spring,sprIN,sprung,sprVN,I->V
arrest,@rEst,arrested,@-rE-stId,NULL->Id
grab,gr{b,grabbed,gr{bd,NULL->d
split,splIt,split,splIt,NULL
invent,InvEnt,invented,In-vEn-tId,NULL->Id
swallow,swQl5,swallowed,swQ-l5d,NULL->d
restore,rIst$r,restored,rI-st$d,NULL->d
forgive,f@gIv,forgave,f@-g1v,I->1
welcome,wElk@m,welcomed,wEl-k@md,NULL->d
promote,pr@m5t,promoted,pr@-m5-tId,NULL->Id
float,fl5t,floated,fl5-tId,NULL->Id
decline,dIkl2n,declined,dI-kl2nd,NULL->d
part,pQrt,parted,pQr-tId,NULL->Id
secure,sIkj$r,secured,sI-kj$d,NULL->d
seize,siz,seized,sizd,NULL->d
overcome,5v@kVm,overcame,5-v@-k1m,V->1
swear,sw1r,swore,sw$r,1->$
conceal,k@nsil,concealed,k@n-sild,NULL->d
drift,drIft,drifted,drIf-tId,NULL->Id
depend,dIpEnd,depend,dI-pEnd,NULL
bore,b$r,bored,b$d,NULL->d
distinguish,dIstINgwIS,distinguished,dI-stIN-gwISt,NULL->t
dine,d2n,dined,d2nd,NULL->d
consult,k@nsVlt,consulted,k@n-sVl-tId,NULL->Id
shock,SQk,shocked,SQkt,NULL->t
retire,rIt23,retired,rI-t2-3d,NULL->d
trouble,trVb@l,troubled,trV-b@ld,NULL->d
greet,grit,greeted,gri-tId,NULL->Id
fish,fIS,fished,fISt,NULL->t
illustrate,Il@str1t,illustrated,I-l@s-tr1-tId,NULL->Id
long,lQN,longed,lQNd,NULL->d
hire,h23,hired,h2-3d,NULL->d
match,m{J,matched,m{Jt,NULL->t
transfer,tr{nsf3r,transferred,tr{ns-f3d,NULL->d
borrow,bQr5,borrowed,bQ-r5d,NULL->d
gaze,g1z,gazed,g1zd,NULL->d
remark,rImQrk,remarked,rI-mQrkt,NULL->t
store,st$r,stored,st$d,NULL->d
entitle,Int2t@l,entitled,In-t2-t@ld,NULL->d
leap,lip,leaped,lipt,NULL->t
convince,k@nvIns,convinced,k@n-vInst,NULL->t
exploit,Ikspl4t,exploited,Ik-spl4-tId,NULL->Id
beg,bEg,begged,bEgd,NULL->d
sigh,s2,sighed,s2d,NULL->d
challenge,J{lIn_,challenged,J{-lIn_d,NULL->d
found,f6nd,founded,f6n-dId,NULL->Id
calculate,k{lkjUl1t,calculated,k{l-kjU-l1-tId,NULL->Id
hesitate,hEzIt1t,hesitated,hE-zI-t1-tId,NULL->Id
eliminate,IlImIn1t,eliminated,I-lI-mI-n1-tId,NULL->Id
view,vju,viewed,vjud,NULL->d
plant,pl{nt,planted,pl{n-tId,NULL->Id
weigh,w1,weighed,w1d,NULL->d
foster,fQst3,fostered,fQ-st3d,NULL->d
undertake,Vnd@t1k,undertook,Vn-d@-tuk,1->u
drain,dr1n,drained,dr1nd,NULL->d
march,mQrJ,marched,mQrJt,NULL->t
respect,rIspEkt,respected,rI-spEk-tId,NULL->Id
startle,stQrt@l,startled,stQr-t@ld,NULL->d
invest,InvEst,invested,In-vE-stId,NULL->Id
land,l{nd,landed,l{n-dId,NULL->Id
list,lIst,listed,lI-stId,NULL->Id
constitute,kQnstItjut,constituted,kQn-stI-tju-tId,NULL->Id
exercise,Eks@s2z,exercised,Ek-s@-s2zd,NULL->d
spoil,sp4l,spoiled,sp4ld,NULL->d
spoil,sp4l,spoilt,sp4lt,NULL->t
advance,@dv{ns,advanced,@d-v{nst,NULL->t
rent,rEnt,rented,rEn-tId,NULL->Id
sustain,s@st1n,sustained,s@-st1nd,NULL->d
collapse,k@l{ps,collapsed,k@-l{pst,NULL->t
condemn,k@ndEm,condemned,k@n-dEmd,NULL->d
guarantee,g{r@nti,guaranteed,g{-r@n-tid,NULL->d
